title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
4bdrm Duplex in Ikota Lekki Lagos for sale,"Lekki, Ikota",Ikota,Lekki,145000000.0,diamond,500.0,4.0,4.0,Semi-Furnished
Furnished 2bdrm Apartment in Victoria Island for sale,"Lagos State, Victoria Island",Victoria Island,Lagos State,260000000.0,diamond,600.0,2.0,2.0,Furnished
"5bdrm Duplex in Airforce Estate, Akobo for sale","Ibadan, Akobo",Akobo,Ibadan,210000000.0,enterprise,600.0,5.0,5.0,Semi-Furnished
Furnished 20bdrm Maisonette in Wuse Zone 4 for sale,"Wuse, Zone 4 / Wuse",Zone 4 / Wuse,Wuse,15000000000.0,False,2074.0,20.0,20.0,Furnished
3bdrm Apartment in Life Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,97000000.0,diamond,500.0,3.0,3.0,Unfurnished
5bdrm Duplex in Jahi District for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),480000000.0,False,2500.0,5.0,6.0,Unfurnished
3bdrm Penthouse in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,250000000.0,diamond,200.0,3.0,3.0,Semi-Furnished
2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,180000000.0,diamond,150.0,2.0,2.0,Semi-Furnished
Furnished 2bdrm Apartment in Igbo Efon Lekki for sale,"Lekki, Igbo-efon",Igbo-efon,Lekki,100000000.0,diamond,600.0,2.0,2.0,Furnished
Furnished 1bdrm Apartment in Sangotedo Ajah for sale,"Ajah, Sangotedo",Sangotedo,Ajah,39000000.0,diamond,600.0,1.0,1.0,Furnished
Furnished 5bdrm Duplex in Lekki County Homes for sale,"Lagos State, Lekki",Lekki,Lagos State,600000000.0,diamond,600.0,5.0,5.0,Furnished
Furnished 2bdrm Penthouse in Chevron Tollgate for sale,"Lekki, Chevron",Chevron,Lekki,130000000.0,diamond,600.0,2.0,2.0,Furnished
5bdrm Duplex in Vgc Lekki Lagos for sale,"Lagos State, Lekki",Lekki,Lagos State,850000000.0,diamond,600.0,5.0,5.0,Semi-Furnished
5bdrm Duplex in Ikota Lekki for sale,"Lekki, Ikota",Ikota,Lekki,420000000.0,diamond,500.0,5.0,5.0,Semi-Furnished
4bdrm Duplex in Ogba for sale,"Lagos State, Ogba",Ogba,Lagos State,260000000.0,diamond,400.0,4.0,4.0,Unfurnished
"Furnished 4bdrm Duplex in Megamond Estate, Ikota for sale","Lekki, Ikota",Ikota,Lekki,300000000.0,False,400.0,4.0,4.0,Furnished
5bdrm Duplex in Utako District for sale,"Abuja (FCT), Utako",Utako,Abuja (FCT),1000000000.0,False,500.0,5.0,6.0,Semi-Furnished
Furnished 4bdrm Duplex in Orchid Lekki Lagos for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,300000000.0,diamond,600.0,4.0,4.0,Furnished
"2bdrm Apartment in Sangotedo, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,55000000.0,diamond,500.0,2.0,2.0,Unfurnished
5bdrm Duplex in Lekki County Ikota for sale,"Lekki, Ikota",Ikota,Lekki,600000000.0,diamond,600.0,5.0,5.0,Semi-Furnished
"4bdrm Duplex in Orchid, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,230000000.0,diamond,400.0,4.0,4.0,Unfurnished
