,title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
507,3bdrm Block of Flats in Abijo for sale,"Ibeju, Abijo",Abijo,Ibeju,48000000.0,enterprise,200.0,3.0,3.0,Semi-Furnished
509,"4bdrm House in Covenant Road, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,220000000.0,diamond,11.0,4.0,4.0,Unfurnished
510,"4bdrm Duplex in Aso, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,180000000.0,diamond,500.0,4.0,5.0,Unfurnished
511,Furnished 4bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,250000000.0,enterprise,250.0,4.0,4.0,Furnished
512,4bdrm Duplex in Ikota Gra for sale,"Lekki, Ikota",Ikota,Lekki,140000000.0,enterprise,200.0,4.0,4.0,Semi-Furnished
513,"4bdrm Duplex in Hrc Estate, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,250000000.0,enterprise,300.0,4.0,4.0,Semi-Furnished
514,"4bdrm Duplex in Beachwood Estate, Bogije for sale","Ibeju, Bogije",Bogije,Ibeju,150000000.0,enterprise,250.0,4.0,4.0,Unfurnished
515,"4bdrm Duplex in Awoyaya, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,85000000.0,enterprise,250.0,4.0,4.0,Semi-Furnished
516,"4bdrm Duplex in Sangotedo, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,300000000.0,enterprise,300.0,4.0,4.0,Semi-Furnished
517,5bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,350000000.0,False,2000.0,5.0,6.0,Unfurnished
518,"Furnished 3bdrm Block of Flats in Ajia Elebu, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,95000000.0,diamond,800.0,3.0,4.0,Furnished
520,"Furnished 5bdrm Duplex in Riverpark, Lugbe District for sale","Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),350000000.0,diamond,500.0,5.0,5.0,Furnished
521,5bdrm Duplex in Ikota Gra for sale,"Lekki, Ikota",Ikota,Lekki,350000000.0,enterprise,400.0,5.0,5.0,Semi-Furnished
522,Furnished 4bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,300000000.0,enterprise,300.0,4.0,4.0,Furnished
523,"3bdrm Duplex in Oribanwa, Awoyaya for sale","Ibeju, Awoyaya",Awoyaya,Ibeju,80000000.0,enterprise,250.0,3.0,3.0,Unfurnished
524,2bdrm Duplex in Kubwa for sale,"Abuja (Fct), Kubwa",Kubwa,Abuja (Fct),175000000.0,diamond,600.0,2.0,2.0,Semi-Furnished
525,4bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,190000000.0,False,2000.0,4.0,5.0,Semi-Furnished
526,2bdrm Duplex in Carlton Gate Estate for sale,"Oyo State, Ibadan",Ibadan,Oyo State,100000000.0,diamond,500.0,2.0,2.0,Unfurnished
527,"4bdrm Duplex in Ikota, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,250000000.0,enterprise,200.0,4.0,5.0,Semi-Furnished
528,"5bdrm Duplex in Chevron Conservative, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,450000000.0,enterprise,270.0,5.0,6.0,Semi-Furnished
529,Furnished 3bdrm Block of Flats in Yawiri Ojuirin Akobo for sale,"Oyo State, Ibadan",Ibadan,Oyo State,70000000.0,diamond,800.0,3.0,3.0,Furnished
530,"4bdrm Duplex in Orchid Road, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,190000000.0,enterprise,250.0,4.0,4.0,Semi-Furnished
